i,k,sum(v)
248,456,1192609
72,456,1183739
452,457,1251481
202,457,1243363
127,457,1269588
235,458,1229692
166,458,1288062
98,458,1222724
472,459,1307644
93,459,1336709
107,460,1161979
493,461,1214890
471,461,1271069
215,461,1283309
200,461,1261895
167,461,1221171
101,461,1273141
24,462,1226480
344,463,1275987
490,464,1134826
376,464,1170784
313,464,1147162
275,464,1219851
201,465,1179754
6,466,1238217
384,467,1233715
374,467,1202420
353,467,1233181
292,467,1232106
221,467,1222132
477,468,1214840
359,468,1193878
67,468,1181201
53,468,1243147
421,469,1187358
398,469,1211048
123,469,1118083
351,470,1160078
284,470,1150931
278,470,1081623
390,471,1233962
354,472,1252321
242,472,1206621
65,472,1217550
313,473,1088775
346,474,1151791
396,475,1208416
284,475,1227831
175,475,1255559
482,476,1266595
467,476,1257123
392,476,1245441
382,477,1253334
226,477,1250506
164,477,1262666
234,478,1182243
63,478,1171653
498,479,1347747
348,479,1237737
302,479,1281692
275,479,1272183
215,479,1269350
163,479,1191539
73,479,1232142
30,479,1273080
463,480,1251321
360,480,1167137
336,480,1213133
185,480,1171391
170,480,1235831
131,480,1218610
10,480,1249062
423,481,1168924
179,481,1154595
247,482,1145982
223,482,1190306
77,482,1150245
246,483,1228119
58,483,1258096
317,484,1236941
98,484,1215449
401,486,1229790
286,487,1251222
236,487,1200443
64,487,1218709
50,487,1299137
6,487,1291349
11,488,1205104
440,489,1255130
419,489,1240350
214,489,1130932
317,490,1273127
218,490,1326013
119,490,1313936
485,491,1203692
426,491,1145750
423,491,1207296
202,491,1235662
152,492,1223461
83,492,1260501
216,493,1126528
154,493,1192485
75,493,1194528
486,494,1279122
292,494,1219439
239,494,1240346
294,495,1207727
258,495,1188289
185,495,1204422
28,495,1250738
303,496,1205843
22,496,1201549
257,497,1260272
164,497,1280830
68,497,1238199
364,498,1161311
106,498,1330098
377,0,1180911
235,0,1165065
225,0,1251197
157,0,1253864
427,2,1159256
387,2,1207691
279,2,1152378
70,2,1279268
69,2,1209436
19,2,1243909
338,3,1200789
8,3,1103970
391,6,1278236
415,7,1264478
384,7,1295469
227,7,1224330
12,7,1299388
388,8,1227079
285,8,1185894
408,9,1231134
351,9,1260185
269,9,1295097
407,10,1228718
334,10,1212896
65,10,1233720
333,11,1199764
240,11,1287179
331,13,1208420
63,13,1193043
51,13,1195087
292,14,1258845
156,14,1227028
50,14,1256355
240,15,1307548
162,15,1232613
88,15,1156935
67,15,1170680
38,15,1251187
34,15,1215029
246,17,1261996
413,18,1224251
433,19,1176797
348,19,1229097
319,19,1245297
401,20,1175616
385,20,1199382
323,20,1160704
143,20,1201445
468,21,1333092
293,21,1282302
218,21,1330844
410,22,1196523
384,22,1196999
318,22,1217224
249,22,1181580
20,22,1212112
466,23,1299003
443,23,1256105
340,25,1273856
6,25,1248303
382,26,1185764
365,26,1211351
24,26,1189038
2,26,1236157
363,27,1190116
149,27,1128311
438,28,1282626
281,28,1204467
220,28,1180388
99,28,1256980
34,28,1173595
408,29,1264359
257,29,1219812
48,29,1264104
336,30,1292426
187,30,1225161
50,30,1300230
78,31,1229390
406,32,1233650
182,32,1192587
85,32,1280815
71,32,1208882
374,33,1202078
221,33,1175857
420,34,1268197
120,35,1148268
78,35,1292124
326,36,1264771
137,36,1248756
99,36,1352877
32,36,1271409
424,37,1267032
394,37,1297764
18,37,1289888
382,38,1239912
126,38,1196119
61,38,1235752
486,39,1234042
112,39,1163095
47,39,1189175
24,39,1181039
287,40,1270734
78,40,1312490
42,40,1264445
432,41,1195764
291,41,1161424
494,42,1259845
266,42,1264051
142,42,1212343
416,43,1163933
273,43,1183579
201,43,1179140
92,44,1325344
390,45,1230252
203,45,1206837
428,46,1262102
299,46,1211918
278,46,1220289
246,46,1291391
139,46,1285387
43,46,1215357
469,47,1205826
257,47,1178508
255,47,1129060
380,48,1192493
179,48,1112863
386,49,1092584
205,49,1200906
136,49,1125940
39,49,1183319
17,49,1178595
62,50,1224239
38,50,1272063
320,51,1284667
369,52,1266361
384,54,1206296
409,55,1225316
209,55,1219176
128,57,1250104
117,57,1188071
32,57,1308045
26,57,1272094
17,57,1266079
425,58,1260637
339,58,1243630
287,58,1256884
55,58,1265280
28,58,1325568
372,60,1203054
44,60,1206646
383,61,1157680
443,62,1167146
228,63,1261111
156,63,1277960
68,63,1242810
210,65,1271005
72,65,1180915
82,66,1271842
370,67,1297158
499,122,1068862
70,123,1329379
70,204,1310482
499,245,1155781
499,315,1215998
499,380,1127452
70,454,1275594
456,25,1159378
494,54,1262667
190,56,1261308
150,56,1253737
46,56,1224692
30,56,1251275
47,63,1259129
471,64,1235699
366,64,1213171
265,64,1207166
229,64,1215482
94,65,1283030
374,66,1221886
137,66,1263663
465,67,1176875
261,67,1133168
461,68,1294254
60,68,1291669
29,68,1231603
448,69,1245238
335,69,1234889
87,69,1215042
342,70,1271007
246,70,1326538
236,70,1223145
64,70,1238833
498,71,1252408
429,72,1227879
295,72,1218708
261,73,1081353
0,73,1192776
472,74,1259342
52,74,1255751
34,74,1219497
443,75,1241594
333,75,1245622
317,75,1267159
353,76,1200996
180,76,1201503
92,77,1250774
335,78,1197825
444,79,1276036
256,79,1258060
210,79,1246433
129,79,1279196
228,80,1228131
349,81,1274740
282,81,1213208
199,81,1267732
50,81,1277088
462,82,1175664
311,82,1126909
464,83,1294316
358,83,1257918
343,83,1216185
331,83,1176644
317,83,1205585
292,83,1214255
270,83,1225440
465,84,1192471
427,84,1203400
324,84,1185344
254,84,1271508
317,85,1265324
492,86,1163803
367,86,1201730
339,86,1161532
222,86,1192617
468,87,1243961
273,88,1227630
478,90,1228570
248,90,1212216
227,90,1162688
121,91,1209247
88,91,1145957
451,92,1244741
384,92,1289036
319,92,1264207
66,92,1188253
388,93,1212814
313,93,1153780
311,93,1136709
14,93,1172926
316,94,1223176
164,94,1235221
136,94,1172494
491,95,1251845
21,95,1190168
341,96,1198501
202,96,1213288
177,96,1168937
131,97,1268476
249,98,1161560
104,98,1187891
337,99,1240697
331,100,1173167
366,102,1196758
296,102,1204449
437,103,1173510
165,103,1181244
39,103,1166991
141,104,1161348
491,105,1196596
450,105,1196214
370,105,1184509
298,105,1160550
205,105,1167347
113,105,1132252
73,105,1145265
35,105,1198934
479,107,1169861
331,107,1199386
126,107,1205274
312,108,1246055
49,108,1272589
295,109,1262348
89,110,1174140
303,111,1242343
20,111,1225866
488,112,1211895
179,112,1177531
90,112,1168631
487,113,1230873
347,114,1192707
326,114,1227823
191,114,1225958
264,115,1144615
240,115,1275615
220,115,1203252
43,115,1157237
224,116,1233500
355,117,1241654
268,117,1272073
417,118,1239566
245,118,1220093
242,118,1228016
178,118,1247797
114,119,1190527
406,120,1263855
205,120,1329421
188,120,1282106
124,120,1256097
484,121,1210634
445,121,1214024
439,121,1242901
150,121,1188019
380,122,1236223
227,122,1187697
130,122,1206493
478,123,1259170
415,123,1195002
349,123,1269860
475,124,1075555
220,124,1217432
123,125,1241927
72,125,1277520
341,126,1261788
192,126,1159692
105,126,1243548
76,127,1235145
270,128,1220179
464,129,1321181
278,130,1225952
230,130,1222274
473,131,1199307
182,131,1183996
411,132,1156461
87,132,1166794
73,132,1146172
400,133,1273986
138,133,1275838
487,134,1296107
400,134,1250754
322,134,1360718
168,134,1285241
47,134,1238060
336,135,1184238
330,135,1212767
90,135,1201700
66,136,1158244
331,137,1188866
1,137,1160869
292,138,1260289
61,138,1197258
19,138,1208970
469,139,1271612
439,139,1211808
64,139,1198476
349,140,1261974
186,140,1178007
164,140,1231357
381,141,1228177
241,141,1231912
63,141,1222901
492,142,1177775
405,142,1201388
203,142,1230578
132,142,1209251
127,142,1240338
234,144,1309633
140,144,1262534
121,144,1299341
65,144,1338642
347,145,1231220
294,146,1248309
272,147,1218036
358,148,1290826
355,149,1220076
65,149,1262922
191,150,1173858
426,151,1167742
425,151,1263571
411,151,1223588
309,151,1263900
200,151,1206308
442,152,1243953
300,152,1318052
198,152,1229689
7,152,1281183
43,153,1181755
488,154,1232362
366,154,1184193
362,154,1197746
306,154,1209914
120,154,1129807
488,155,1282907
456,155,1235777
325,155,1229389
212,155,1315536
190,155,1286930
146,155,1255647
482,156,1168624
206,156,1154476
199,156,1208727
491,157,1235230
482,157,1183964
294,157,1188018
268,157,1205489
131,157,1198298
485,158,1171562
288,158,1226315
104,158,1202715
383,159,1149822
279,159,1131761
41,159,1186729
363,160,1259924
487,161,1242030
434,162,1255759
372,162,1238117
443,163,1186565
304,163,1290755
214,163,1134934
487,164,1279754
403,164,1321370
159,165,1268666
42,165,1260500
394,166,1260457
347,166,1201826
192,166,1214015
87,166,1200737
276,167,1266573
416,168,1180528
159,169,1209402
156,169,1265068
81,169,1184806
69,169,1187879
496,170,1249220
319,170,1247876
1,170,1186249
457,171,1188328
401,171,1176397
370,171,1261410
11,172,1196581
433,173,1180997
270,174,1257517
125,174,1197650
43,174,1228483
363,175,1279885
335,175,1243970
153,175,1201953
110,175,1188163
53,175,1247800
483,176,1265297
367,176,1212275
276,176,1262037
200,176,1256387
472,177,1275729
296,177,1235193
208,177,1247286
93,177,1299416
443,178,1224740
339,178,1208710
289,178,1275540
454,179,1333626
252,179,1170168
34,179,1259456
251,181,1232371
230,181,1230188
417,185,1325452
362,185,1250350
199,185,1269316
299,186,1227433
100,187,1250497
452,188,1310232
362,188,1266750
357,188,1266190
345,188,1299094
244,188,1276597
45,188,1359480
495,189,1253657
474,190,1368700
16,190,1191739
473,192,1160399
457,192,1203367
436,192,1165766
401,192,1173732
178,192,1233935
68,192,1202386
230,193,1224667
32,193,1266932
9,193,1171836
387,194,1166042
379,194,1161620
256,194,1230138
178,194,1268610
329,196,1218679
72,196,1182973
408,197,1213988
309,197,1244241
296,198,1307144
224,198,1261281
112,198,1282767
74,198,1338771
273,199,1234595
486,200,1329360
275,200,1258553
145,200,1215802
144,201,1168412
257,202,1141247
251,202,1221627
343,204,1267445
138,204,1296838
291,205,1156980
26,205,1237058
420,209,1222945
274,209,1265508
245,209,1253222
213,209,1206854
296,210,1230726
288,210,1179902
149,210,1212067
314,211,1160077
245,211,1196362
220,212,1221101
24,212,1208240
0,212,1198657
248,214,1168132
233,214,1218751
138,214,1259855
53,215,1313004
343,216,1270645
330,216,1265377
97,216,1235964
392,217,1209223
316,217,1225465
151,217,1210835
404,218,1195713
391,218,1269000
172,218,1241793
59,218,1217978
448,219,1265031
186,220,1096336
167,220,1107431
120,221,1101031
375,222,1213582
78,222,1211909
61,222,1159972
54,223,1250644
10,223,1214363
146,224,1253184
399,225,1201118
338,225,1165098
354,226,1256126
267,226,1256548
195,226,1223538
125,226,1129528
195,227,1198561
159,227,1170605
122,227,1183214
74,228,1236278
38,228,1240283
260,229,1284149
278,230,1175759
151,230,1189179
421,231,1254245
90,231,1197313
463,232,1183576
239,232,1209157
131,233,1270077
344,234,1250470
205,234,1267586
175,234,1290136
29,235,1147991
159,236,1264752
14,236,1301156
388,237,1198849
22,237,1162934
390,238,1311076
357,238,1278959
355,238,1255088
347,238,1259956
270,238,1325361
175,238,1349864
111,238,1272744
71,239,1204954
107,240,1196179
249,241,1241354
86,241,1221315
42,241,1227156
38,241,1249949
380,242,1232814
267,242,1220143
33,242,1169465
8,242,1139246
497,243,1189092
405,243,1191658
167,243,1156065
20,243,1174209
471,244,1168553
314,244,1173290
165,244,1160883
24,244,1215223
293,245,1227543
288,245,1213904
281,245,1195507
199,245,1225001
155,247,1261662
177,248,1214556
107,248,1197892
332,249,1238574
174,249,1158748
97,249,1166980
301,250,1243970
222,250,1253921
131,250,1255302
364,251,1198676
305,251,1322496
279,251,1214527
432,252,1250189
39,252,1182200
15,252,1204095
346,253,1234098
306,253,1242701
154,253,1230015
144,253,1209467
385,254,1245591
288,254,1181052
249,254,1218804
155,254,1230285
77,254,1176926
34,254,1126421
421,255,1225126
337,255,1260586
103,255,1245122
11,257,1241608
417,259,1226622
174,260,1227572
61,260,1198981
365,261,1240717
246,261,1251003
184,261,1223045
135,261,1181198
302,262,1288995
81,262,1251444
478,263,1182762
326,263,1174813
261,263,1127560
306,264,1291134
305,264,1276499
233,264,1305980
222,264,1269361
134,264,1220859
35,264,1236096
26,264,1285216
287,265,1191603
205,265,1311910
62,265,1160087
491,266,1319546
482,266,1283910
416,266,1306177
262,266,1331255
317,267,1166863
376,268,1188820
225,268,1181599
186,268,1191653
294,269,1280005
209,269,1221320
131,269,1263576
66,269,1160574
200,270,1194074
444,271,1247531
404,271,1216401
375,271,1262751
439,273,1228182
350,273,1283169
228,273,1237472
209,273,1213287
479,274,1260725
284,274,1280618
248,274,1228069
128,274,1234209
391,275,1260259
385,275,1259084
377,275,1190850
146,275,1206088
105,276,1195973
58,276,1227178
18,276,1174957
487,277,1302721
414,277,1261234
376,277,1295436
291,277,1298092
138,277,1327646
48,277,1285560
491,279,1210981
74,279,1245321
49,279,1147484
296,280,1210593
267,280,1252530
238,281,1231049
190,281,1274214
162,281,1277508
496,282,1165719
356,283,1162783
304,283,1212614
243,283,1219337
473,284,1209954
286,284,1233812
418,285,1226591
181,285,1216880
142,285,1249933
3,285,1298527
20,286,1244876
93,287,1217961
439,288,1164418
340,288,1238990
117,288,1109654
188,289,1226199
111,289,1196426
479,290,1221531
129,290,1271839
293,291,1166860
434,292,1291067
418,292,1261975
361,292,1254295
321,292,1172374
143,292,1288273
58,292,1305339
39,292,1272931
255,293,1131733
203,294,1214498
53,294,1229518
11,294,1212601
402,296,1251346
388,296,1280544
209,296,1220403
15,296,1223784
208,297,1165480
0,297,1130098
221,298,1187337
43,298,1103671
269,299,1169733
236,299,1125279
127,299,1195359
464,300,1234715
284,301,1290280
421,302,1266410
413,302,1203613
302,302,1269994
373,303,1165495
425,304,1237517
370,304,1267343
13,306,1175375
449,307,1227253
58,307,1214022
53,307,1203659
16,307,1166147
21,308,1269319
276,309,1271100
241,309,1246738
37,309,1290075
21,309,1266838
39,310,1208876
419,311,1200772
329,311,1174061
252,311,1176872
199,312,1203922
141,312,1141440
481,313,1162969
445,313,1226310
435,314,1212433
94,314,1273652
415,315,1259381
446,316,1318035
398,317,1204117
339,317,1155346
324,317,1132638
12,317,1247790
468,318,1301714
416,318,1272429
230,318,1279412
112,318,1226234
52,318,1293266
28,318,1251449
16,318,1206222
497,319,1202490
280,319,1225076
216,319,1199734
129,319,1264796
406,320,1236001
328,320,1195049
201,320,1207555
483,321,1209665
374,321,1186887
318,321,1225382
309,322,1228389
100,322,1277151
141,323,1206404
474,324,1274935
387,324,1185948
375,324,1265133
354,324,1255949
201,324,1212781
183,324,1230891
52,324,1218134
31,324,1222526
21,324,1194311
243,325,1249695
87,325,1190841
329,326,1272552
105,326,1285789
161,327,1300861
349,328,1236716
202,328,1251319
174,328,1211811
288,329,1182733
130,330,1212562
389,331,1235628
250,331,1208329
445,332,1320166
221,332,1241594
71,332,1269105
116,333,1234494
236,334,1144651
156,334,1209583
489,335,1288690
57,335,1322491
21,335,1246808
358,336,1242938
344,336,1240467
287,336,1204892
186,336,1182322
101,336,1197498
252,337,1190131
143,337,1251935
50,337,1272020
207,338,1253544
17,338,1243481
304,339,1263851
264,339,1177973
81,339,1178430
68,339,1187554
360,340,1216906
243,340,1261628
150,340,1237477
477,341,1227951
342,341,1207309
155,341,1236582
152,341,1183641
136,341,1178219
340,344,1273725
244,344,1197163
3,344,1251249
144,345,1159265
121,345,1226114
111,345,1164038
349,346,1217898
291,346,1152886
11,346,1211387
198,347,1167401
387,348,1102909
470,349,1158618
431,349,1231139
71,349,1184704
480,351,1188737
330,354,1250717
271,354,1267756
45,354,1312954
206,355,1143653
495,356,1210717
263,356,1233191
255,356,1129877
194,356,1221109
185,356,1133617
92,357,1204361
400,358,1282383
281,358,1259837
249,360,1233507
13,360,1269467
344,361,1271370
278,361,1194694
73,362,1186146
233,363,1255910
291,364,1232268
46,364,1265204
370,365,1257715
108,365,1239380
453,366,1229718
251,366,1229904
116,366,1222136
96,366,1184909
454,367,1296724
450,367,1224015
368,367,1269756
366,367,1224105
358,367,1288354
217,367,1229977
38,367,1257794
237,368,1255790
470,369,1145280
368,369,1196751
224,369,1180972
123,370,1150987
398,371,1149072
379,371,1149241
203,371,1188417
332,372,1226466
169,372,1153247
143,373,1283009
26,373,1264516
367,374,1207735
207,374,1225239
154,374,1222839
73,374,1176876
13,374,1202486
180,375,1301157
89,375,1261303
411,376,1244975
307,376,1270854
252,376,1183810
348,377,1211647
263,377,1268029
44,377,1265150
243,378,1233156
33,378,1149652
358,379,1221927
31,379,1155269
486,380,1305515
379,380,1196388
12,380,1268387
168,381,1284613
284,382,1285672
324,383,1226834
400,384,1339938
227,384,1251770
126,384,1304787
26,384,1310341
459,385,1244213
425,385,1272834
399,385,1233514
58,385,1285805
377,386,1183176
40,386,1285338
36,386,1197663
458,387,1233731
404,387,1129967
183,387,1168669
7,387,1228145
363,388,1265700
98,388,1183139
473,389,1205068
469,389,1218957
438,390,1241033
443,391,1281825
395,391,1257149
328,391,1282421
217,391,1242196
144,391,1241189
80,391,1285962
38,391,1263677
199,392,1258328
86,392,1200648
25,392,1221028
187,393,1241872
330,394,1221130
63,394,1231871
296,395,1237185
297,396,1274998
102,396,1286688
317,397,1155500
289,397,1187126
179,397,1142410
453,398,1246895
404,398,1199225
246,398,1291631
104,399,1241771
66,399,1133035
50,399,1240075
319,400,1309948
175,400,1320440
46,400,1314089
341,401,1221612
225,402,1283305
255,403,1159995
491,404,1243495
84,404,1223661
272,405,1224517
138,405,1278455
30,405,1221577
419,406,1330547
284,406,1273903
205,406,1359488
32,406,1321363
26,406,1254329
494,407,1334164
482,407,1221061
32,407,1299513
31,407,1275503
29,408,1189117
490,409,1145629
107,409,1139651
88,409,1136192
51,409,1155258
324,410,1132136
255,410,1114168
84,410,1203384
59,410,1182674
47,410,1192995
400,411,1211725
345,411,1203266
128,411,1123274
116,412,1256056
65,412,1279777
163,413,1161727
259,414,1201205
216,414,1236098
201,414,1220492
474,415,1364662
284,415,1284883
215,415,1263739
113,415,1241403
56,416,1256052
337,417,1264953
275,417,1286608
193,418,1172378
25,418,1216857
264,419,1161294
217,419,1189070
74,419,1169814
32,419,1262690
26,419,1180641
447,420,1219287
435,420,1226274
427,420,1159520
448,421,1269153
417,421,1323126
416,421,1292807
249,421,1292653
129,421,1336262
82,421,1297299
385,422,1233551
309,422,1226341
157,422,1222416
147,422,1244083
358,423,1276015
139,423,1265724
316,424,1256629
147,424,1228594
417,425,1295351
166,425,1241402
264,426,1157824
140,426,1226541
26,426,1173905
346,427,1139492
270,427,1180042
497,428,1296758
447,428,1338295
414,428,1281868
408,428,1280769
204,429,1204318
484,430,1236608
389,430,1274663
454,431,1340973
249,432,1278228
2,432,1313852
493,433,1176303
257,433,1198457
178,433,1225654
85,434,1249216
212,435,1344424
196,435,1295566
185,435,1216879
126,435,1309828
374,437,1149544
57,437,1293843
39,437,1244199
385,438,1281631
369,438,1298092
201,438,1253480
155,438,1268065
97,438,1210281
382,439,1208776
349,439,1258464
463,440,1247702
341,440,1287038
320,440,1274202
150,440,1196111
460,441,1218674
337,441,1206813
194,441,1185269
310,442,1293338
197,442,1274086
100,442,1373915
261,443,1110120
76,443,1179037
16,443,1144490
47,444,1207596
482,446,1298775
401,446,1283069
168,447,1216457
199,448,1226986
53,448,1213456
124,449,1269575
490,450,1135142
473,450,1173399
225,450,1197262
196,451,1273137
166,451,1240669
275,452,1332679
236,453,1213498
173,453,1218081
71,454,1194656
315,455,1233065
445,456,1223748
388,456,1269334
233,456,1253729
116,456,1256030
114,456,1254745
96,456,1192856
497,457,1215565
306,457,1250570
218,457,1288990
392,458,1295683
361,458,1306257
308,458,1228197
286,458,1276783
196,459,1314127
389,460,1162925
383,460,1149725
139,460,1239161
130,460,1102738
128,461,1234970
92,461,1304709
30,461,1248978
183,462,1241463
80,462,1258507
487,463,1234423
466,463,1227221
462,463,1178495
326,463,1171928
396,464,1136002
400,465,1223044
195,465,1218867
16,465,1143707
498,466,1334784
433,466,1207957
430,466,1232406
428,466,1244888
313,466,1195172
219,466,1168529
109,466,1247002
314,467,1198226
185,467,1199438
239,468,1255863
197,468,1247713
59,468,1200976
340,469,1245489
314,469,1125099
153,469,1155983
329,470,1126676
157,470,1179728
82,470,1173835
276,471,1229688
185,471,1168405
131,471,1262318
329,472,1186045
60,472,1175866
27,472,1156443
464,473,1223600
309,473,1188885
259,473,1147712
368,474,1206608
146,474,1198459
21,474,1175874
2,474,1238310
460,475,1244601
422,475,1298776
331,476,1226182
215,476,1297214
192,476,1230953
156,476,1302370
155,476,1296598
74,476,1309145
322,477,1350188
126,477,1215930
405,478,1175445
396,478,1140395
240,479,1317495
190,479,1314075
183,479,1279721
58,479,1288381
414,480,1207844
108,480,1295571
199,481,1152541
311,482,1146850
124,483,1261031
403,484,1282714
200,484,1190767
185,485,1204589
310,486,1245910
287,486,1254584
246,486,1341967
252,487,1205238
48,487,1246968
480,488,1140420
204,488,1205703
174,488,1215522
400,489,1240566
116,489,1231368
474,490,1368946
470,490,1216973
465,490,1177742
104,490,1299398
95,490,1291943
18,490,1243437
181,491,1214361
99,491,1323323
64,491,1164594
247,492,1205075
211,492,1285306
117,492,1205572
474,493,1255081
339,493,1149895
336,493,1174577
23,493,1142439
317,494,1211583
207,494,1220305
174,495,1171563
340,496,1272028
261,496,1110267
238,499,1215542
325,0,1219751
208,0,1226014
104,0,1253694
54,0,1277798
422,1,1284636
348,1,1242895
250,1,1223111
413,2,1205224
201,2,1236744
151,2,1222955
124,3,1202528
95,3,1273879
499,4,1156658
84,4,1179332
167,5,1212007
132,5,1242166
118,5,1264763
117,5,1199430
493,6,1191781
432,6,1228523
325,6,1183714
71,6,1233482
62,6,1178274
382,7,1281098
241,7,1231689
86,7,1281043
75,7,1320282
455,8,1215549
347,8,1206665
217,8,1204497
212,8,1234048
128,8,1196936
399,9,1203211
86,9,1275180
370,10,1268644
295,10,1229911
119,10,1232996
94,10,1194638
433,11,1176107
410,11,1211985
268,11,1241511
253,11,1198388
327,12,1259380
196,12,1292401
192,13,1172915
179,13,1177109
104,13,1245524
87,13,1192167
194,14,1218038
10,15,1240160
481,16,1159163
404,16,1187515
399,16,1166111
269,16,1237162
69,16,1160805
306,17,1208624
244,17,1221219
214,17,1134175
281,18,1199577
261,18,1157587
251,18,1260602
225,18,1233686
212,18,1275098
412,19,1272941
80,19,1254165
75,19,1250454
366,20,1143451
201,20,1195796
136,20,1129846
475,21,1192959
183,21,1315615
168,21,1325985
358,22,1188944
312,22,1206803
210,22,1214382
120,22,1082776
281,23,1227933
174,23,1268126
216,24,1284197
427,26,1142281
147,26,1181820
60,26,1188952
151,28,1180317
91,28,1221030
79,28,1170440
449,29,1266463
465,30,1220644
367,30,1282567
170,30,1254194
161,30,1288420
83,30,1281644
48,30,1267041
489,31,1226900
313,31,1198041
226,31,1206273
262,32,1310811
106,32,1329050
465,34,1187319
368,34,1307709
357,34,1212618
271,34,1257684
225,34,1256774
220,34,1271267
103,34,1219652
123,35,1165944
80,35,1251535
348,36,1190408
175,36,1312069
74,36,1263917
463,37,1276274
194,37,1308288
166,37,1303016
52,37,1307091
50,37,1357638
480,38,1190377
277,38,1272090
71,38,1216431
14,38,1215683
76,39,1286234
25,39,1208491
249,40,1290911
209,41,1178610
190,41,1240242
435,43,1190769
314,44,1302934
271,44,1318625
445,46,1258874
143,46,1256564
491,47,1171103
291,47,1139588
247,48,1173812
66,48,1122082
274,49,1250732
122,49,1235535
34,50,1255928
19,50,1261696
310,51,1234179
244,51,1220140
330,52,1251033
303,52,1249268
19,52,1271257
440,53,1246627
74,53,1213331
53,53,1236760
293,54,1216968
365,55,1252657
99,55,1375207
51,55,1270706
31,55,1291414
483,56,1242216
92,56,1239303
43,56,1188981
61,57,1253644
152,58,1178062
290,59,1267792
216,59,1219643
204,59,1237566
134,59,1194451
52,59,1248677
330,60,1207569
16,61,1217435
402,62,1208573
90,63,1241833
248,64,1231272
108,64,1259173
104,65,1300602
40,65,1275889
448,66,1252518
388,66,1251452
390,79,1236474
134,84,1147698
262,115,1254462
134,117,1222545
499,157,1085525
70,304,1251614
70,311,1255596
200,48,1168967
62,55,1261098
174,57,1257395
398,63,1264874
291,64,1237600
157,65,1263677
310,67,1216632
40,67,1277457
11,67,1242611
400,69,1269493
360,69,1174897
409,70,1274868
332,70,1303435
298,70,1256128
156,70,1302022
141,70,1236552
451,71,1202696
332,71,1235751
283,71,1216107
364,72,1123833
306,72,1178975
104,72,1206463
43,72,1194454
101,73,1182727
445,74,1253694
336,74,1268853
60,74,1272186
483,75,1294488
278,75,1211929
216,75,1215236
312,77,1236488
85,77,1270062
434,79,1266281
344,79,1226461
280,79,1257961
178,79,1297901
166,80,1281503
281,82,1197942
201,82,1175591
166,82,1159600
5,82,1182475
220,83,1207906
28,83,1213050
110,84,1177345
172,85,1286654
112,86,1172566
84,86,1137992
309,87,1238365
245,87,1235432
97,87,1166167
439,88,1220660
460,89,1258009
423,89,1265817
298,89,1236538
266,89,1326264
229,89,1252021
159,89,1245549
352,91,1148136
126,91,1186479
174,92,1229710
295,93,1181408
265,93,1123700
213,93,1193387
8,93,1119618
261,94,1132543
184,94,1221515
147,95,1208464
448,96,1187969
44,96,1193490
468,97,1312246
294,97,1252768
254,97,1338868
232,97,1311199
50,97,1338936
374,98,1176151
353,98,1126837
329,98,1154838
190,98,1191779
472,99,1207832
421,99,1209240
327,99,1251908
64,100,1162949
101,101,1276783
75,101,1280781
257,102,1144656
158,102,1238490
174,103,1159732
64,104,1159438
58,104,1280231
340,105,1216434
140,105,1187010
448,106,1230220
384,106,1288433
314,106,1220659
43,106,1219882
417,107,1230131
295,107,1258655
111,109,1261998
453,110,1245075
351,110,1268132
343,110,1241436
243,110,1291249
92,110,1175592
100,112,1310309
394,113,1171427
299,114,1245488
128,114,1237326
54,114,1271305
93,115,1261599
468,116,1293302
434,116,1232889
402,116,1260904
268,116,1281650
293,117,1272852
294,118,1203025
257,118,1141139
10,118,1204414
287,119,1256652
126,119,1214341
35,119,1213423
450,120,1253900
426,120,1199637
303,120,1256339
105,120,1282459
28,121,1206885
456,122,1166985
416,122,1203607
234,122,1225126
109,122,1247929
434,123,1264511
156,123,1272086
284,125,1251405
213,125,1312177
152,125,1298463
361,126,1259004
241,126,1173293
141,126,1193839
372,127,1227927
258,127,1185731
129,127,1263546
102,127,1222768
487,128,1210960
360,128,1127966
275,128,1260808
149,128,1183007
53,128,1228497
191,129,1168243
128,130,1209797
92,130,1292777
62,130,1195150
194,131,1180657
3,131,1263165
497,132,1198360
350,132,1291069
496,133,1305710
406,133,1237250
386,134,1186371
449,135,1218628
23,135,1162003
484,136,1180087
431,136,1259606
411,136,1216735
228,136,1256965
51,136,1206696
155,137,1214913
467,139,1207476
296,139,1178914
257,139,1201824
256,139,1254156
145,139,1193091
33,139,1217531
368,141,1292452
311,141,1223567
341,142,1218615
153,142,1164887
97,142,1122251
24,142,1192125
491,143,1180942
490,143,1063875
352,143,1127358
448,144,1293352
45,144,1312797
445,145,1252903
105,145,1214115
104,145,1226418
78,145,1248965
453,146,1257211
323,146,1306569
288,146,1250122
449,147,1234947
408,147,1224606
20,147,1227474
445,148,1259360
241,148,1209217
27,148,1193212
475,149,1190073
321,149,1169897
108,149,1244523
48,149,1214563
463,150,1174905
239,150,1234500
114,150,1217582
264,151,1208038
210,151,1237100
463,152,1284358
462,152,1229306
486,154,1276512
404,154,1215421
369,154,1256795
173,154,1240561
26,154,1259095
210,155,1324257
185,155,1210800
85,155,1291665
486,156,1242441
291,156,1175953
113,156,1164687
11,156,1197643
464,157,1301037
366,157,1174493
13,157,1179759
357,158,1202796
356,158,1229106
174,158,1185086
84,158,1168658
23,158,1179491
194,159,1171899
132,159,1165043
